<1> Timestamp: 2020.1.7 22:40:38.Connection to SQL server established
<2> Timestamp: 2020.1.7 22:40:40.A sensor node with 49 has opened a new connection
<3> Timestamp: 2020.1.7 22:40:40.A sensor node with 112 has opened a new connection
<4> Timestamp: 2020.1.7 22:40:40.A sensor node with 15 has opened a new connection
<5> Timestamp: 2020.1.7 22:40:40.A sensor node with 21 has opened a new connection
<6> Timestamp: 2020.1.7 22:40:40.A sensor node with 37 has opened a new connection
<7> Timestamp: 2020.1.7 22:40:44.The sensor node with 15 reports it's too hot(running average temperature=20.010620)
<8> Timestamp: 2020.1.7 22:40:44.The sensor node with 37 reports it's too hot(running average temperature=20.010620)
<9> Timestamp: 2020.1.7 22:40:45.The sensor node with 15 reports it's too hot(running average temperature=20.033132)
<10> Timestamp: 2020.1.7 22:40:45.The sensor node with 37 reports it's too hot(running average temperature=20.033132)
<11> Timestamp: 2020.1.7 22:40:46.The sensor node with 15 reports it's too hot(running average temperature=20.090502)
<12> Timestamp: 2020.1.7 22:40:46.The sensor node with 37 reports it's too hot(running average temperature=20.090502)
<13> Timestamp: 2020.1.7 22:40:47.The sensor node with 15 reports it's too hot(running average temperature=20.147141)
<14> Timestamp: 2020.1.7 22:40:47.The sensor node with 37 reports it's too hot(running average temperature=20.147141)
<15> Timestamp: 2020.1.7 22:40:48.The sensor node with 112 reports it's too hot(running average temperature=20.010620)
<16> Timestamp: 2020.1.7 22:40:48.The sensor node with 15 reports it's too hot(running average temperature=20.261208)
<17> Timestamp: 2020.1.7 22:40:48.The sensor node with 21 reports it's too hot(running average temperature=20.010620)
<18> Timestamp: 2020.1.7 22:40:48.The sensor node with 37 reports it's too hot(running average temperature=20.261208)
<19> Timestamp: 2020.1.7 22:40:49.The sensor node with 15 reports it's too hot(running average temperature=20.419929)
<20> Timestamp: 2020.1.7 22:40:49.The sensor node with 37 reports it's too hot(running average temperature=20.419929)
<21> Timestamp: 2020.1.7 22:40:50.The sensor node with 112 reports it's too hot(running average temperature=20.033132)
<22> Timestamp: 2020.1.7 22:40:50.The sensor node with 21 reports it's too hot(running average temperature=20.033132)
<23> Timestamp: 2020.1.7 22:40:50.The sensor node with 15 reports it's too hot(running average temperature=20.498031)
<24> Timestamp: 2020.1.7 22:40:50.The sensor node with 37 reports it's too hot(running average temperature=20.498031)
<25> Timestamp: 2020.1.7 22:40:51.The sensor node with 15 reports it's too hot(running average temperature=20.584345)
<26> Timestamp: 2020.1.7 22:40:51.The sensor node with 37 reports it's too hot(running average temperature=20.584345)
<27> Timestamp: 2020.1.7 22:40:52.The sensor node with 49 reports it's too hot(running average temperature=20.010620)
