<1> Timestamp: 2020.1.3 8:42:29.Connection to SQL server established
<2> Timestamp: 2020.1.3 8:42:30.A sensor node with 49 has opened a new connection
<3> Timestamp: 2020.1.3 8:42:30.A sensor node with 112 has opened a new connection
<4> Timestamp: 2020.1.3 8:42:30.A sensor node with 37 has opened a new connection
<5> Timestamp: 2020.1.3 8:42:30.A sensor node with 21 has opened a new connection
<6> Timestamp: 2020.1.3 8:42:30.A sensor node with 15 has opened a new connection
<7> Timestamp: 2020.1.3 8:42:31.The sensor node with 37 reports it's too hot(running average temperature=20.001312)
<8> Timestamp: 2020.1.3 8:42:31.The sensor node with 15 reports it's too hot(running average temperature=20.001312)
<9> Timestamp: 2020.1.3 8:42:32.The sensor node with 112 reports it's too hot(running average temperature=20.001312)
<10> Timestamp: 2020.1.3 8:42:32.The sensor node with 21 reports it's too hot(running average temperature=20.001312)
<11> Timestamp: 2020.1.3 8:42:32.The sensor node with 37 reports it's too hot(running average temperature=19.861682)
<12> Timestamp: 2020.1.3 8:42:32.The sensor node with 15 reports it's too hot(running average temperature=19.861682)
<13> Timestamp: 2020.1.3 8:42:33.The sensor node with 49 reports it's too hot(running average temperature=20.001312)
<14> Timestamp: 2020.1.3 8:42:33.The sensor node with 37 reports it's too hot(running average temperature=19.712510)
<15> Timestamp: 2020.1.3 8:42:33.The sensor node with 15 reports it's too hot(running average temperature=19.712510)
<16> Timestamp: 2020.1.3 8:42:34.The sensor node with 112 reports it's too hot(running average temperature=19.861682)
<17> Timestamp: 2020.1.3 8:42:34.The sensor node with 21 reports it's too hot(running average temperature=19.861682)
<18> Timestamp: 2020.1.3 8:42:34.The sensor node with 37 reports it's too hot(running average temperature=19.753063)
<19> Timestamp: 2020.1.3 8:42:34.The sensor node with 15 reports it's too hot(running average temperature=19.753063)
<20> Timestamp: 2020.1.3 8:42:35.The sensor node with 37 reports it's too hot(running average temperature=19.968273)
<21> Timestamp: 2020.1.3 8:42:35.The sensor node with 15 reports it's too hot(running average temperature=19.968273)
<22> Timestamp: 2020.1.3 8:42:36.The sensor node with 49 reports it's too hot(running average temperature=19.861682)
<23> Timestamp: 2020.1.3 8:42:36.The sensor node with 112 reports it's too hot(running average temperature=19.712510)
<24> Timestamp: 2020.1.3 8:42:36.The sensor node with 21 reports it's too hot(running average temperature=19.712510)
<25> Timestamp: 2020.1.3 8:42:36.The sensor node with 37 reports it's too hot(running average temperature=20.160001)
<26> Timestamp: 2020.1.3 8:42:36.The sensor node with 15 reports it's too hot(running average temperature=20.160001)
<27> Timestamp: 2020.1.3 8:42:37.The sensor node with 37 reports it's too hot(running average temperature=20.328334)
<28> Timestamp: 2020.1.3 8:42:37.The sensor node with 15 reports it's too hot(running average temperature=20.328334)
<29> Timestamp: 2020.1.3 8:42:38.The sensor node with 112 reports it's too hot(running average temperature=19.753063)
<30> Timestamp: 2020.1.3 8:42:38.The sensor node with 21 reports it's too hot(running average temperature=19.753063)
<31> Timestamp: 2020.1.3 8:42:38.The sensor node with 37 reports it's too hot(running average temperature=20.373485)
<32> Timestamp: 2020.1.3 8:42:38.The sensor node with 15 reports it's too hot(running average temperature=20.373485)
<33> Timestamp: 2020.1.3 8:42:39.The sensor node with 49 reports it's too hot(running average temperature=19.712510)
<34> Timestamp: 2020.1.3 8:42:39.The sensor node with 37 reports it's too hot(running average temperature=20.364714)
<35> Timestamp: 2020.1.3 8:42:39.The sensor node with 15 reports it's too hot(running average temperature=20.364714)
<36> Timestamp: 2020.1.3 8:42:40.The sensor node with 112 reports it's too hot(running average temperature=19.968273)
<37> Timestamp: 2020.1.3 8:42:40.The sensor node with 21 reports it's too hot(running average temperature=19.968273)
<38> Timestamp: 2020.1.3 8:42:40.The sensor node with 37 reports it's too hot(running average temperature=20.439917)
<39> Timestamp: 2020.1.3 8:42:40.The sensor node with 15 reports it's too hot(running average temperature=20.439917)
<40> Timestamp: 2020.1.3 8:42:41.The sensor node with 37 reports it's too hot(running average temperature=20.354736)
<41> Timestamp: 2020.1.3 8:42:41.The sensor node with 15 reports it's too hot(running average temperature=20.354736)
<42> Timestamp: 2020.1.3 8:42:42.The sensor node with 49 reports it's too hot(running average temperature=19.753063)
<43> Timestamp: 2020.1.3 8:42:42.The sensor node with 112 reports it's too hot(running average temperature=20.160001)
<44> Timestamp: 2020.1.3 8:42:42.The sensor node with 37 reports it's too hot(running average temperature=20.178341)
<45> Timestamp: 2020.1.3 8:42:42.The sensor node with 21 reports it's too hot(running average temperature=20.160001)
<46> Timestamp: 2020.1.3 8:42:42.The sensor node with 15 reports it's too hot(running average temperature=20.178341)
<47> Timestamp: 2020.1.3 8:42:43.The sensor node with 37 reports it's too hot(running average temperature=20.063507)
<48> Timestamp: 2020.1.3 8:42:43.The sensor node with 15 reports it's too hot(running average temperature=20.063507)
<49> Timestamp: 2020.1.3 8:42:44.The sensor node with 112 reports it's too hot(running average temperature=20.328334)
<50> Timestamp: 2020.1.3 8:42:44.The sensor node with 21 reports it's too hot(running average temperature=20.328334)
<51> Timestamp: 2020.1.3 8:42:44.The sensor node with 37 reports it's too hot(running average temperature=19.978321)
<52> Timestamp: 2020.1.3 8:42:44.The sensor node with 15 reports it's too hot(running average temperature=19.978321)
<53> Timestamp: 2020.1.3 8:42:45.The sensor node with 49 reports it's too hot(running average temperature=19.968273)
<54> Timestamp: 2020.1.3 8:42:45.The sensor node with 37 reports it's too hot(running average temperature=19.909831)
<55> Timestamp: 2020.1.3 8:42:45.The sensor node with 15 reports it's too hot(running average temperature=19.909831)
<56> Timestamp: 2020.1.3 8:42:46.The sensor node with 112 reports it's too hot(running average temperature=20.373485)
<57> Timestamp: 2020.1.3 8:42:46.The sensor node with 21 reports it's too hot(running average temperature=20.373485)
